NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
1,Brasil,1006,Hectares,1232818,1,Brasil,216,Área colhida,202211,novembro 2022,48584,Safra 2021,39467,21 Mandioca
1,Brasil,1006,Hectares,54267,1,Brasil,216,Área colhida,202211,novembro 2022,48584,Safra 2021,39470,24 Tomate
1,Brasil,1006,Hectares,74331,1,Brasil,216,Área colhida,202211,novembro 2022,48584,Safra 2021,39471,25 Uva
1,Brasil,1006,Hectares,87776552,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,0,Total
1,Brasil,1006,Hectares,73220664,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39428,"1 Cereais, leguminosas e oleaginosas"
1,Brasil,1006,Hectares,1622098,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39429,1.1 Algodão herbáceo
1,Brasil,1006,Hectares,210841,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39430,1.2 Amendoim (1ª Safra)
1,Brasil,1006,Hectares,7304,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39431,1.3 Amendoim (2ª Safra)
1,Brasil,1006,Hectares,1626175,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39432,1.4 Arroz
1,Brasil,1006,Hectares,506071,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39433,1.5 Aveia
1,Brasil,1006,Hectares,5249,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39434,1.6 Centeio
1,Brasil,1006,Hectares,130486,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39435,1.7 Cevada
1,Brasil,1006,Hectares,1425528,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39436,1.8 Feijão (1ª Safra)
1,Brasil,1006,Hectares,1097411,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39437,1.9 Feijão (2ª Safra)
1,Brasil,1006,Hectares,237050,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39438,1.10 Feijão (3ª Safra)
1,Brasil,1006,Hectares,36175,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39439,1.11 Girassol
1,Brasil,1006,Hectares,48442,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39440,1.12 Mamona
1,Brasil,1006,Hectares,5288017,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39441,1.13 Milho (1ª Safra)
1,Brasil,1006,Hectares,15965848,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39442,1.14 Milho (2ª Safra)
1,Brasil,1006,Hectares,40853893,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39443,1.15 Soja
1,Brasil,1006,Hectares,1031866,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39444,1.16 Sorgo
1,Brasil,1006,Hectares,3107130,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39445,1.17 Trigo
1,Brasil,1006,Hectares,21080,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39446,1.18 Triticale
1,Brasil,1006,Hectares,463842,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39449,4 Banana
1,Brasil,1006,Hectares,56945,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39450,5 Batata - inglesa (1ª Safra)
1,Brasil,1006,Hectares,39186,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39451,6 Batata - inglesa (2ª Safra)
1,Brasil,1006,Hectares,27433,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39452,7 Batata - inglesa (3ª Safra)
1,Brasil,1006,Hectares,599961,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39453,8 Cacau
1,Brasil,1006,Hectares,1458953,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39454,9 Café arábica
1,Brasil,1006,Hectares,397547,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39455,10 Café canephora
1,Brasil,1006,Hectares,8825288,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39456,11 Cana-de-açúcar
1,Brasil,1006,Hectares,424875,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39457,12 Castanha-de-caju
1,Brasil,1006,Hectares,324031,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39460,15 Fumo
1,Brasil,1006,Hectares,-,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39462,17 Juta
1,Brasil,1006,Hectares,583032,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39463,18 Laranja
1,Brasil,1006,Hectares,1226015,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39467,21 Mandioca
1,Brasil,1006,Hectares,53872,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39470,24 Tomate
1,Brasil,1006,Hectares,74908,1,Brasil,216,Área colhida,202211,novembro 2022,50483,Safra 2022,39471,25 Uva
1,Brasil,,,..,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,0,Total
1,Brasil,1017,Toneladas,253205838,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39428,"1 Cereais, leguminosas e oleaginosas"
1,Brasil,1017,Toneladas,5849412,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39429,1.1 Algodão herbáceo
1,Brasil,1017,Toneladas,640045,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39430,1.2 Amendoim (1ª Safra)
1,Brasil,1017,Toneladas,10713,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39431,1.3 Amendoim (2ª Safra)
1,Brasil,1017,Toneladas,11620292,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39432,1.4 Arroz
1,Brasil,1017,Toneladas,1056316,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39433,1.5 Aveia
1,Brasil,1017,Toneladas,8937,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39434,1.6 Centeio
1,Brasil,1017,Toneladas,436789,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39435,1.7 Cevada
1,Brasil,1017,Toneladas,1156566,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39436,1.8 Feijão (1ª Safra)
1,Brasil,1017,Toneladas,1023013,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39437,1.9 Feijão (2ª Safra)
1,Brasil,1017,Toneladas,596794,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39438,1.10 Feijão (3ª Safra)
1,Brasil,1017,Toneladas,67350,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39439,1.11 Girassol
1,Brasil,1017,Toneladas,29480,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39440,1.12 Mamona
1,Brasil,1017,Toneladas,25662204,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39441,1.13 Milho (1ª Safra)
1,Brasil,1017,Toneladas,62124916,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39442,1.14 Milho (2ª Safra)
1,Brasil,1017,Toneladas,134933704,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39443,1.15 Soja
1,Brasil,1017,Toneladas,2409724,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39444,1.16 Sorgo
1,Brasil,1017,Toneladas,7816867,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39445,1.17 Trigo
1,Brasil,1017,Toneladas,43986,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39446,1.18 Triticale
1,Brasil,1017,Toneladas,7018879,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39449,4 Banana
1,Brasil,1017,Toneladas,1853937,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39450,5 Batata - inglesa (1ª Safra)
1,Brasil,1017,Toneladas,1240124,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39451,6 Batata - inglesa (2ª Safra)
1,Brasil,1017,Toneladas,1032550,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39452,7 Batata - inglesa (3ª Safra)
1,Brasil,1017,Toneladas,310537,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39453,8 Cacau
1,Brasil,1017,Toneladas,1922222,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39454,9 Café arábica
1,Brasil,1017,Toneladas,1018281,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39455,10 Café canephora
1,Brasil,1017,Toneladas,609281544,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39456,11 Cana-de-açúcar
1,Brasil,1017,Toneladas,110669,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39457,12 Castanha-de-caju
1,Brasil,1017,Toneladas,716356,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39460,15 Fumo
1,Brasil,1017,Toneladas,-,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39462,17 Juta
1,Brasil,1017,Toneladas,16019990,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39463,18 Laranja
1,Brasil,1017,Toneladas,18496182,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39467,21 Mandioca
1,Brasil,1017,Toneladas,3886009,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39470,24 Tomate
1,Brasil,1017,Toneladas,1702660,1,Brasil,35,Produção,202211,novembro 2022,48584,Safra 2021,39471,25 Uva
1,Brasil,,,..,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,0,Total
1,Brasil,1017,Toneladas,262653469,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39428,"1 Cereais, leguminosas e oleaginosas"
1,Brasil,1017,Toneladas,6739711,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39429,1.1 Algodão herbáceo
1,Brasil,1017,Toneladas,834912,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39430,1.2 Amendoim (1ª Safra)
1,Brasil,1017,Toneladas,11663,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39431,1.3 Amendoim (2ª Safra)
1,Brasil,1017,Toneladas,10666334,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39432,1.4 Arroz
1,Brasil,1017,Toneladas,1164978,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39433,1.5 Aveia
1,Brasil,1017,Toneladas,7701,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39434,1.6 Centeio
1,Brasil,1017,Toneladas,502527,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39435,1.7 Cevada
1,Brasil,1017,Toneladas,1085264,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39436,1.8 Feijão (1ª Safra)
1,Brasil,1017,Toneladas,1344228,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39437,1.9 Feijão (2ª Safra)
1,Brasil,1017,Toneladas,659387,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39438,1.10 Feijão (3ª Safra)
1,Brasil,1017,Toneladas,60361,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39439,1.11 Girassol
1,Brasil,1017,Toneladas,38924,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39440,1.12 Mamona
1,Brasil,1017,Toneladas,25413392,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39441,1.13 Milho (1ª Safra)
1,Brasil,1017,Toneladas,84730503,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39442,1.14 Milho (2ª Safra)
1,Brasil,1017,Toneladas,119541186,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39443,1.15 Soja
1,Brasil,1017,Toneladas,2858768,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39444,1.16 Sorgo
1,Brasil,1017,Toneladas,9559800,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39445,1.17 Trigo
1,Brasil,1017,Toneladas,62317,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39446,1.18 Triticale
1,Brasil,1017,Toneladas,7083431,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39449,4 Banana
1,Brasil,1017,Toneladas,1695829,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39450,5 Batata - inglesa (1ª Safra)
1,Brasil,1017,Toneladas,1281827,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39451,6 Batata - inglesa (2ª Safra)
1,Brasil,1017,Toneladas,1069850,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39452,7 Batata - inglesa (3ª Safra)
1,Brasil,1017,Toneladas,290119,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39453,8 Cacau
1,Brasil,1017,Toneladas,2027476,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39454,9 Café arábica
1,Brasil,1017,Toneladas,1103442,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39455,10 Café canephora
1,Brasil,1017,Toneladas,627088640,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39456,11 Cana-de-açúcar
1,Brasil,1017,Toneladas,123077,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39457,12 Castanha-de-caju
1,Brasil,1017,Toneladas,665418,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39460,15 Fumo
1,Brasil,1017,Toneladas,-,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39462,17 Juta
1,Brasil,1017,Toneladas,16722361,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39463,18 Laranja
1,Brasil,1017,Toneladas,18227561,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39467,21 Mandioca
1,Brasil,1017,Toneladas,3839590,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39470,24 Tomate
1,Brasil,1017,Toneladas,1502357,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39471,25 Uva
