id_Sidra,unit,value,types,year_month,year_harvest,product,created_at
3,Hectares,1376225,Area plantada,2022-11-01,2021,Algodao herbaceo,2022-12-16 00:43:04.487222
4,Hectares,174421,Area plantada,2022-11-01,2021,Amendoim (1ª Safra),2022-12-16 00:43:04.487222
5,Hectares,6928,Area plantada,2022-11-01,2021,Amendoim (2ª Safra),2022-12-16 00:43:04.487222
6,Hectares,1680428,Area plantada,2022-11-01,2021,Arroz,2022-12-16 00:43:04.487222
7,Hectares,477008,Area plantada,2022-11-01,2021,Aveia,2022-12-16 00:43:04.487222
8,Hectares,4758,Area plantada,2022-11-01,2021,Centeio,2022-12-16 00:43:04.487222
9,Hectares,115065,Area plantada,2022-11-01,2021,Cevada,2022-12-16 00:43:04.487222
10,Hectares,1501953,Area plantada,2022-11-01,2021,Feijao (1ª Safra),2022-12-16 00:43:04.487222
11,Hectares,1113171,Area plantada,2022-11-01,2021,Feijao (2ª Safra),2022-12-16 00:43:04.487222
12,Hectares,215721,Area plantada,2022-11-01,2021,Feijao (3ª Safra),2022-12-16 00:43:04.487222
13,Hectares,42047,Area plantada,2022-11-01,2021,Girassol,2022-12-16 00:43:04.487222
14,Hectares,46934,Area plantada,2022-11-01,2021,Mamona,2022-12-16 00:43:04.487222
15,Hectares,5081148,Area plantada,2022-11-01,2021,Milho (1ª Safra),2022-12-16 00:43:04.487222
16,Hectares,14623294,Area plantada,2022-11-01,2021,Milho (2ª Safra),2022-12-16 00:43:04.487222
17,Hectares,38988530,Area plantada,2022-11-01,2021,Soja,2022-12-16 00:43:04.487222
18,Hectares,868262,Area plantada,2022-11-01,2021,Sorgo,2022-12-16 00:43:04.487222
19,Hectares,2798360,Area plantada,2022-11-01,2021,Trigo,2022-12-16 00:43:04.487222
20,Hectares,16018,Area plantada,2022-11-01,2021,Triticale,2022-12-16 00:43:04.487222
21,Hectares,476064,Area plantada,2022-11-01,2021,Banana,2022-12-16 00:43:04.487222
22,Hectares,59330,Area plantada,2022-11-01,2021,Batata - inglesa (1ª Safra),2022-12-16 00:43:04.487222
23,Hectares,39337,Area plantada,2022-11-01,2021,Batata - inglesa (2ª Safra),2022-12-16 00:43:04.487222
24,Hectares,27019,Area plantada,2022-11-01,2021,Batata - inglesa (3ª Safra),2022-12-16 00:43:04.487222
25,Hectares,617529,Area plantada,2022-11-01,2021,Cacau,2022-12-16 00:43:04.487222
26,Hectares,1448579,Area plantada,2022-11-01,2021,Cafe arabica,2022-12-16 00:43:04.487222
27,Hectares,400977,Area plantada,2022-11-01,2021,Cafe canephora,2022-12-16 00:43:04.487222
28,Hectares,8884003,Area plantada,2022-11-01,2021,Cana-de-acucar,2022-12-16 00:43:04.487222
29,Hectares,427874,Area plantada,2022-11-01,2021,Castanha-de-caju,2022-12-16 00:43:04.487222
30,Hectares,338345,Area plantada,2022-11-01,2021,Fumo,2022-12-16 00:43:04.487222
31,Hectares,0,Area plantada,2022-11-01,2021,Juta,2022-12-16 00:43:04.487222
32,Hectares,596257,Area plantada,2022-11-01,2021,Laranja,2022-12-16 00:43:04.487222
33,Hectares,1280920,Area plantada,2022-11-01,2021,Mandioca,2022-12-16 00:43:04.487222
34,Hectares,54484,Area plantada,2022-11-01,2021,Tomate,2022-12-16 00:43:04.487222
35,Hectares,75086,Area plantada,2022-11-01,2021,Uva,2022-12-16 00:43:04.487222
38,Hectares,1622172,Area plantada,2022-11-01,2022,Algodao herbaceo,2022-12-16 00:43:04.487222
39,Hectares,211304,Area plantada,2022-11-01,2022,Amendoim (1ª Safra),2022-12-16 00:43:04.487222
40,Hectares,7345,Area plantada,2022-11-01,2022,Amendoim (2ª Safra),2022-12-16 00:43:04.487222
41,Hectares,1657464,Area plantada,2022-11-01,2022,Arroz,2022-12-16 00:43:04.487222
42,Hectares,506571,Area plantada,2022-11-01,2022,Aveia,2022-12-16 00:43:04.487222
43,Hectares,5249,Area plantada,2022-11-01,2022,Centeio,2022-12-16 00:43:04.487222
44,Hectares,130666,Area plantada,2022-11-01,2022,Cevada,2022-12-16 00:43:04.487222
45,Hectares,1459221,Area plantada,2022-11-01,2022,Feijao (1ª Safra),2022-12-16 00:43:04.487222
46,Hectares,1128911,Area plantada,2022-11-01,2022,Feijao (2ª Safra),2022-12-16 00:43:04.487222
47,Hectares,237395,Area plantada,2022-11-01,2022,Feijao (3ª Safra),2022-12-16 00:43:04.487222
48,Hectares,36365,Area plantada,2022-11-01,2022,Girassol,2022-12-16 00:43:04.487222
49,Hectares,48442,Area plantada,2022-11-01,2022,Mamona,2022-12-16 00:43:04.487222
50,Hectares,5349883,Area plantada,2022-11-01,2022,Milho (1ª Safra),2022-12-16 00:43:04.487222
51,Hectares,16052482,Area plantada,2022-11-01,2022,Milho (2ª Safra),2022-12-16 00:43:04.487222
52,Hectares,41077058,Area plantada,2022-11-01,2022,Soja,2022-12-16 00:43:04.487222
53,Hectares,1037834,Area plantada,2022-11-01,2022,Sorgo,2022-12-16 00:43:04.487222
54,Hectares,3108430,Area plantada,2022-11-01,2022,Trigo,2022-12-16 00:43:04.487222
55,Hectares,21080,Area plantada,2022-11-01,2022,Triticale,2022-12-16 00:43:04.487222
56,Hectares,473200,Area plantada,2022-11-01,2022,Banana,2022-12-16 00:43:04.487222
57,Hectares,56985,Area plantada,2022-11-01,2022,Batata - inglesa (1ª Safra),2022-12-16 00:43:04.487222
58,Hectares,39186,Area plantada,2022-11-01,2022,Batata - inglesa (2ª Safra),2022-12-16 00:43:04.487222
59,Hectares,27433,Area plantada,2022-11-01,2022,Batata - inglesa (3ª Safra),2022-12-16 00:43:04.487222
60,Hectares,620258,Area plantada,2022-11-01,2022,Cacau,2022-12-16 00:43:04.487222
61,Hectares,1472727,Area plantada,2022-11-01,2022,Cafe arabica,2022-12-16 00:43:04.487222
62,Hectares,403118,Area plantada,2022-11-01,2022,Cafe canephora,2022-12-16 00:43:04.487222
63,Hectares,8839104,Area plantada,2022-11-01,2022,Cana-de-acucar,2022-12-16 00:43:04.487222
64,Hectares,425917,Area plantada,2022-11-01,2022,Castanha-de-caju,2022-12-16 00:43:04.487222
65,Hectares,328088,Area plantada,2022-11-01,2022,Fumo,2022-12-16 00:43:04.487222
66,Hectares,0,Area plantada,2022-11-01,2022,Juta,2022-12-16 00:43:04.487222
67,Hectares,596035,Area plantada,2022-11-01,2022,Laranja,2022-12-16 00:43:04.487222
68,Hectares,1277570,Area plantada,2022-11-01,2022,Mandioca,2022-12-16 00:43:04.487222
69,Hectares,54001,Area plantada,2022-11-01,2022,Tomate,2022-12-16 00:43:04.487222
70,Hectares,75639,Area plantada,2022-11-01,2022,Uva,2022-12-16 00:43:04.487222
73,Hectares,1375913,Area colhida,2022-11-01,2021,Algodao herbaceo,2022-12-16 00:43:04.487222
74,Hectares,174377,Area colhida,2022-11-01,2021,Amendoim (1ª Safra),2022-12-16 00:43:04.487222
75,Hectares,6922,Area colhida,2022-11-01,2021,Amendoim (2ª Safra),2022-12-16 00:43:04.487222
76,Hectares,1679497,Area colhida,2022-11-01,2021,Arroz,2022-12-16 00:43:04.487222
77,Hectares,475437,Area colhida,2022-11-01,2021,Aveia,2022-12-16 00:43:04.487222
78,Hectares,4758,Area colhida,2022-11-01,2021,Centeio,2022-12-16 00:43:04.487222
79,Hectares,115065,Area colhida,2022-11-01,2021,Cevada,2022-12-16 00:43:04.487222
80,Hectares,1435721,Area colhida,2022-11-01,2021,Feijao (1ª Safra),2022-12-16 00:43:04.487222
81,Hectares,1067582,Area colhida,2022-11-01,2021,Feijao (2ª Safra),2022-12-16 00:43:04.487222
82,Hectares,215721,Area colhida,2022-11-01,2021,Feijao (3ª Safra),2022-12-16 00:43:04.487222
83,Hectares,42047,Area colhida,2022-11-01,2021,Girassol,2022-12-16 00:43:04.487222
84,Hectares,46934,Area colhida,2022-11-01,2021,Mamona,2022-12-16 00:43:04.487222
85,Hectares,4959670,Area colhida,2022-11-01,2021,Milho (1ª Safra),2022-12-16 00:43:04.487222
86,Hectares,14334434,Area colhida,2022-11-01,2021,Milho (2ª Safra),2022-12-16 00:43:04.487222
87,Hectares,38974763,Area colhida,2022-11-01,2021,Soja,2022-12-16 00:43:04.487222
88,Hectares,858499,Area colhida,2022-11-01,2021,Sorgo,2022-12-16 00:43:04.487222
89,Hectares,2779150,Area colhida,2022-11-01,2021,Trigo,2022-12-16 00:43:04.487222
90,Hectares,16018,Area colhida,2022-11-01,2021,Triticale,2022-12-16 00:43:04.487222
91,Hectares,465502,Area colhida,2022-11-01,2021,Banana,2022-12-16 00:43:04.487222
92,Hectares,59330,Area colhida,2022-11-01,2021,Batata - inglesa (1ª Safra),2022-12-16 00:43:04.487222
93,Hectares,39337,Area colhida,2022-11-01,2021,Batata - inglesa (2ª Safra),2022-12-16 00:43:04.487222
94,Hectares,27019,Area colhida,2022-11-01,2021,Batata - inglesa (3ª Safra),2022-12-16 00:43:04.487222
95,Hectares,597228,Area colhida,2022-11-01,2021,Cacau,2022-12-16 00:43:04.487222
96,Hectares,1433881,Area colhida,2022-11-01,2021,Cafe arabica,2022-12-16 00:43:04.487222
97,Hectares,395392,Area colhida,2022-11-01,2021,Cafe canephora,2022-12-16 00:43:04.487222
98,Hectares,8858657,Area colhida,2022-11-01,2021,Cana-de-acucar,2022-12-16 00:43:04.487222
99,Hectares,426813,Area colhida,2022-11-01,2021,Castanha-de-caju,2022-12-16 00:43:04.487222
100,Hectares,337721,Area colhida,2022-11-01,2021,Fumo,2022-12-16 00:43:04.487222
101,Hectares,0,Area colhida,2022-11-01,2021,Juta,2022-12-16 00:43:04.487222
102,Hectares,585115,Area colhida,2022-11-01,2021,Laranja,2022-12-16 00:43:04.487222
103,Hectares,1232818,Area colhida,2022-11-01,2021,Mandioca,2022-12-16 00:43:04.487222
104,Hectares,54267,Area colhida,2022-11-01,2021,Tomate,2022-12-16 00:43:04.487222
105,Hectares,74331,Area colhida,2022-11-01,2021,Uva,2022-12-16 00:43:04.487222
108,Hectares,1622098,Area colhida,2022-11-01,2022,Algodao herbaceo,2022-12-16 00:43:04.487222
109,Hectares,210841,Area colhida,2022-11-01,2022,Amendoim (1ª Safra),2022-12-16 00:43:04.487222
110,Hectares,7304,Area colhida,2022-11-01,2022,Amendoim (2ª Safra),2022-12-16 00:43:04.487222
111,Hectares,1626175,Area colhida,2022-11-01,2022,Arroz,2022-12-16 00:43:04.487222
112,Hectares,506071,Area colhida,2022-11-01,2022,Aveia,2022-12-16 00:43:04.487222
113,Hectares,5249,Area colhida,2022-11-01,2022,Centeio,2022-12-16 00:43:04.487222
114,Hectares,130486,Area colhida,2022-11-01,2022,Cevada,2022-12-16 00:43:04.487222
115,Hectares,1425528,Area colhida,2022-11-01,2022,Feijao (1ª Safra),2022-12-16 00:43:04.487222
116,Hectares,1097411,Area colhida,2022-11-01,2022,Feijao (2ª Safra),2022-12-16 00:43:04.487222
117,Hectares,237050,Area colhida,2022-11-01,2022,Feijao (3ª Safra),2022-12-16 00:43:04.487222
118,Hectares,36175,Area colhida,2022-11-01,2022,Girassol,2022-12-16 00:43:04.487222
119,Hectares,48442,Area colhida,2022-11-01,2022,Mamona,2022-12-16 00:43:04.487222
120,Hectares,5288017,Area colhida,2022-11-01,2022,Milho (1ª Safra),2022-12-16 00:43:04.487222
121,Hectares,15965848,Area colhida,2022-11-01,2022,Milho (2ª Safra),2022-12-16 00:43:04.487222
122,Hectares,40853893,Area colhida,2022-11-01,2022,Soja,2022-12-16 00:43:04.487222
123,Hectares,1031866,Area colhida,2022-11-01,2022,Sorgo,2022-12-16 00:43:04.487222
124,Hectares,3107130,Area colhida,2022-11-01,2022,Trigo,2022-12-16 00:43:04.487222
125,Hectares,21080,Area colhida,2022-11-01,2022,Triticale,2022-12-16 00:43:04.487222
126,Hectares,463842,Area colhida,2022-11-01,2022,Banana,2022-12-16 00:43:04.487222
127,Hectares,56945,Area colhida,2022-11-01,2022,Batata - inglesa (1ª Safra),2022-12-16 00:43:04.487222
128,Hectares,39186,Area colhida,2022-11-01,2022,Batata - inglesa (2ª Safra),2022-12-16 00:43:04.487222
129,Hectares,27433,Area colhida,2022-11-01,2022,Batata - inglesa (3ª Safra),2022-12-16 00:43:04.487222
130,Hectares,599961,Area colhida,2022-11-01,2022,Cacau,2022-12-16 00:43:04.487222
131,Hectares,1458953,Area colhida,2022-11-01,2022,Cafe arabica,2022-12-16 00:43:04.487222
132,Hectares,397547,Area colhida,2022-11-01,2022,Cafe canephora,2022-12-16 00:43:04.487222
133,Hectares,8825288,Area colhida,2022-11-01,2022,Cana-de-acucar,2022-12-16 00:43:04.487222
134,Hectares,424875,Area colhida,2022-11-01,2022,Castanha-de-caju,2022-12-16 00:43:04.487222
135,Hectares,324031,Area colhida,2022-11-01,2022,Fumo,2022-12-16 00:43:04.487222
136,Hectares,0,Area colhida,2022-11-01,2022,Juta,2022-12-16 00:43:04.487222
137,Hectares,583032,Area colhida,2022-11-01,2022,Laranja,2022-12-16 00:43:04.487222
138,Hectares,1226015,Area colhida,2022-11-01,2022,Mandioca,2022-12-16 00:43:04.487222
139,Hectares,53872,Area colhida,2022-11-01,2022,Tomate,2022-12-16 00:43:04.487222
140,Hectares,74908,Area colhida,2022-11-01,2022,Uva,2022-12-16 00:43:04.487222
143,Toneladas,5849412,Producao,2022-11-01,2021,Algodao herbaceo,2022-12-16 00:43:04.487222
144,Toneladas,640045,Producao,2022-11-01,2021,Amendoim (1ª Safra),2022-12-16 00:43:04.487222
145,Toneladas,10713,Producao,2022-11-01,2021,Amendoim (2ª Safra),2022-12-16 00:43:04.487222
146,Toneladas,11620292,Producao,2022-11-01,2021,Arroz,2022-12-16 00:43:04.487222
147,Toneladas,1056316,Producao,2022-11-01,2021,Aveia,2022-12-16 00:43:04.487222
148,Toneladas,8937,Producao,2022-11-01,2021,Centeio,2022-12-16 00:43:04.487222
149,Toneladas,436789,Producao,2022-11-01,2021,Cevada,2022-12-16 00:43:04.487222
150,Toneladas,1156566,Producao,2022-11-01,2021,Feijao (1ª Safra),2022-12-16 00:43:04.487222
151,Toneladas,1023013,Producao,2022-11-01,2021,Feijao (2ª Safra),2022-12-16 00:43:04.487222
152,Toneladas,596794,Producao,2022-11-01,2021,Feijao (3ª Safra),2022-12-16 00:43:04.487222
153,Toneladas,67350,Producao,2022-11-01,2021,Girassol,2022-12-16 00:43:04.487222
154,Toneladas,29480,Producao,2022-11-01,2021,Mamona,2022-12-16 00:43:04.487222
155,Toneladas,25662204,Producao,2022-11-01,2021,Milho (1ª Safra),2022-12-16 00:43:04.487222
156,Toneladas,62124916,Producao,2022-11-01,2021,Milho (2ª Safra),2022-12-16 00:43:04.487222
157,Toneladas,134933704,Producao,2022-11-01,2021,Soja,2022-12-16 00:43:04.487222
158,Toneladas,2409724,Producao,2022-11-01,2021,Sorgo,2022-12-16 00:43:04.487222
159,Toneladas,7816867,Producao,2022-11-01,2021,Trigo,2022-12-16 00:43:04.487222
160,Toneladas,43986,Producao,2022-11-01,2021,Triticale,2022-12-16 00:43:04.487222
161,Toneladas,7018879,Producao,2022-11-01,2021,Banana,2022-12-16 00:43:04.487222
162,Toneladas,1853937,Producao,2022-11-01,2021,Batata - inglesa (1ª Safra),2022-12-16 00:43:04.487222
163,Toneladas,1240124,Producao,2022-11-01,2021,Batata - inglesa (2ª Safra),2022-12-16 00:43:04.487222
164,Toneladas,1032550,Producao,2022-11-01,2021,Batata - inglesa (3ª Safra),2022-12-16 00:43:04.487222
165,Toneladas,310537,Producao,2022-11-01,2021,Cacau,2022-12-16 00:43:04.487222
166,Toneladas,1922222,Producao,2022-11-01,2021,Cafe arabica,2022-12-16 00:43:04.487222
167,Toneladas,1018281,Producao,2022-11-01,2021,Cafe canephora,2022-12-16 00:43:04.487222
168,Toneladas,609281544,Producao,2022-11-01,2021,Cana-de-acucar,2022-12-16 00:43:04.487222
169,Toneladas,110669,Producao,2022-11-01,2021,Castanha-de-caju,2022-12-16 00:43:04.487222
170,Toneladas,716356,Producao,2022-11-01,2021,Fumo,2022-12-16 00:43:04.487222
171,Toneladas,0,Producao,2022-11-01,2021,Juta,2022-12-16 00:43:04.487222
172,Toneladas,16019990,Producao,2022-11-01,2021,Laranja,2022-12-16 00:43:04.487222
173,Toneladas,18496182,Producao,2022-11-01,2021,Mandioca,2022-12-16 00:43:04.487222
174,Toneladas,3886009,Producao,2022-11-01,2021,Tomate,2022-12-16 00:43:04.487222
175,Toneladas,1702660,Producao,2022-11-01,2021,Uva,2022-12-16 00:43:04.487222
178,Toneladas,6739711,Producao,2022-11-01,2022,Algodao herbaceo,2022-12-16 00:43:04.487222
179,Toneladas,834912,Producao,2022-11-01,2022,Amendoim (1ª Safra),2022-12-16 00:43:04.487222
180,Toneladas,11663,Producao,2022-11-01,2022,Amendoim (2ª Safra),2022-12-16 00:43:04.487222
181,Toneladas,10666334,Producao,2022-11-01,2022,Arroz,2022-12-16 00:43:04.487222
182,Toneladas,1164978,Producao,2022-11-01,2022,Aveia,2022-12-16 00:43:04.487222
183,Toneladas,7701,Producao,2022-11-01,2022,Centeio,2022-12-16 00:43:04.487222
184,Toneladas,502527,Producao,2022-11-01,2022,Cevada,2022-12-16 00:43:04.487222
185,Toneladas,1085264,Producao,2022-11-01,2022,Feijao (1ª Safra),2022-12-16 00:43:04.487222
186,Toneladas,1344228,Producao,2022-11-01,2022,Feijao (2ª Safra),2022-12-16 00:43:04.487222
187,Toneladas,659387,Producao,2022-11-01,2022,Feijao (3ª Safra),2022-12-16 00:43:04.487222
188,Toneladas,60361,Producao,2022-11-01,2022,Girassol,2022-12-16 00:43:04.487222
189,Toneladas,38924,Producao,2022-11-01,2022,Mamona,2022-12-16 00:43:04.487222
190,Toneladas,25413392,Producao,2022-11-01,2022,Milho (1ª Safra),2022-12-16 00:43:04.487222
191,Toneladas,84730503,Producao,2022-11-01,2022,Milho (2ª Safra),2022-12-16 00:43:04.487222
192,Toneladas,119541186,Producao,2022-11-01,2022,Soja,2022-12-16 00:43:04.487222
193,Toneladas,2858768,Producao,2022-11-01,2022,Sorgo,2022-12-16 00:43:04.487222
194,Toneladas,9559800,Producao,2022-11-01,2022,Trigo,2022-12-16 00:43:04.487222
195,Toneladas,62317,Producao,2022-11-01,2022,Triticale,2022-12-16 00:43:04.487222
196,Toneladas,7083431,Producao,2022-11-01,2022,Banana,2022-12-16 00:43:04.487222
197,Toneladas,1695829,Producao,2022-11-01,2022,Batata - inglesa (1ª Safra),2022-12-16 00:43:04.487222
198,Toneladas,1281827,Producao,2022-11-01,2022,Batata - inglesa (2ª Safra),2022-12-16 00:43:04.487222
199,Toneladas,1069850,Producao,2022-11-01,2022,Batata - inglesa (3ª Safra),2022-12-16 00:43:04.487222
200,Toneladas,290119,Producao,2022-11-01,2022,Cacau,2022-12-16 00:43:04.487222
201,Toneladas,2027476,Producao,2022-11-01,2022,Cafe arabica,2022-12-16 00:43:04.487222
202,Toneladas,1103442,Producao,2022-11-01,2022,Cafe canephora,2022-12-16 00:43:04.487222
203,Toneladas,627088640,Producao,2022-11-01,2022,Cana-de-acucar,2022-12-16 00:43:04.487222
204,Toneladas,123077,Producao,2022-11-01,2022,Castanha-de-caju,2022-12-16 00:43:04.487222
205,Toneladas,665418,Producao,2022-11-01,2022,Fumo,2022-12-16 00:43:04.487222
206,Toneladas,0,Producao,2022-11-01,2022,Juta,2022-12-16 00:43:04.487222
207,Toneladas,16722361,Producao,2022-11-01,2022,Laranja,2022-12-16 00:43:04.487222
208,Toneladas,18227561,Producao,2022-11-01,2022,Mandioca,2022-12-16 00:43:04.487222
209,Toneladas,3839590,Producao,2022-11-01,2022,Tomate,2022-12-16 00:43:04.487222
210,Toneladas,1502357,Producao,2022-11-01,2022,Uva,2022-12-16 00:43:04.487222
